species	cancer_type	correlation
Antilocapra_americana	gastric	0.205758653896957
Antilocapra_americana	glioma	0.201165039676728
Antilocapra_americana	head and neck	0.21722324059418
Antilocapra_americana	hepatocellular	0.231847611003592
Antilocapra_americana	intestine	0.195211578761841
Antilocapra_americana	kidney	0.309952493184549
Antilocapra_americana	leukaemia	0.127968461273405
Antilocapra_americana	liver	0.247697919014743
Antilocapra_americana	lung	0.265110147511041
Antilocapra_americana	lymphoma	0.196226514974673
Antilocapra_americana	melanoma	0.267108990649883
Antilocapra_americana	mesothelioma	0.239937803499593
Antilocapra_americana	oesophagus	0.1791831924364
Antilocapra_americana	other tumour types	0.263538446837475
Antilocapra_americana	ovarian	0.205324014477168
Antilocapra_americana	paediatric	0.321282112511763
Antilocapra_americana	pancreas	0.157115094000147
Antilocapra_americana	prostate	0.167982808222509
Antilocapra_americana	rare other tumour types	-0.320877567153567
Antilocapra_americana	renal	0.154270873518094
Antilocapra_americana	sarcoma	0.215471872549105
Antilocapra_americana	skin	0.170045894511041
Antilocapra_americana	small intestine	0.0846407412263591
Antilocapra_americana	soft tissue sarcoma	0.247933980437017
Antilocapra_americana	testicular	0.0913276735969822
Antilocapra_americana	thyroid	0.251883571074962
Antilocapra_americana	urothelial	0.216014784503176
Antilocapra_americana	uterine	0.163338658878727
Aotus_nancymaae	all	0.581313420274618
Aotus_nancymaae	bladder	0.585354966827756
Aotus_nancymaae	breast	0.579826411359231
Aotus_nancymaae	central nervous system	0.508275019984611
Aotus_nancymaae	colon	0.573074568679579
Aotus_nancymaae	colorectal	0.58009686729951
Aotus_nancymaae	endometrial	0.550062220495639
Aotus_nancymaae	gastric	0.572871579168201
Aotus_nancymaae	glioma	0.608419899528531
Aotus_nancymaae	head and neck	0.595882452348617
Aotus_nancymaae	hepatocellular	0.608625477198407
Aotus_nancymaae	intestine	0.614727200391457
Aotus_nancymaae	kidney	0.623373336927841
Aotus_nancymaae	leukaemia	0.52781001993676
Aotus_nancymaae	liver	0.399926491755896
Aotus_nancymaae	lung	0.606363499902286
Aotus_nancymaae	lymphoma	0.542902176100455
Aotus_nancymaae	melanoma	0.604816814547744
Aotus_nancymaae	mesothelioma	0.745751533048032
Aotus_nancymaae	oesophagus	0.562319255772214
Aotus_nancymaae	other tumour types	0.621053346520937
Aotus_nancymaae	ovarian	0.58380994295309
Aotus_nancymaae	paediatric	0.605170913898842
Aotus_nancymaae	pancreas	0.594719877598711
Aotus_nancymaae	prostate	0.548585570171928
Aotus_nancymaae	rare other tumour types	0.708695652173913
Aotus_nancymaae	renal	0.542988900600749
Aotus_nancymaae	sarcoma	0.582630774955296
Aotus_nancymaae	skin	0.656393785590522
Aotus_nancymaae	small intestine	0.615889913671645
Aotus_nancymaae	soft tissue sarcoma	0.478375547915294
Aotus_nancymaae	testicular	0.592034262850749
Aotus_nancymaae	thyroid	0.550212441501329
Aotus_nancymaae	urothelial	0.634570549584733
